OrderId,ProductId,ProductName,Quantity
o0a0be3a7ff15,p11-002,精華液,1
o0a0d64405fad,p12-001,洗髮精,1
o0a0eed7b2100,p13-003,洗面乳,1
o0a0eed7b2100,p12-002,護唇油,1
o0a0f36a81a6d,p13-001,卸妝油,1
o0a0f36a81a6d,p12-002,護唇油,1
o0a1b8ca82193,p11-002,精華液,1
o0a1b1979cf6e,p11-002,精華液,1
o0a1b7094229a,p21-001,減法保養組,1
o0a1b7094229a,p11-002,精華液,1
o0a1bcca82253,p13-002,沐浴露,2
o0a1d7ca84039,p12-002,護唇油,1
o0a1dc1f724dc,p11-001,精華油,1
o0a1e51a82ad0,p21-001,減法保養組,1
o0a1e51a82ad0,p11-002,精華液,1
o0a1ed3a82ed4,p11-002,精華液,1
o0a1f76942f98,p21-001,減法保養組,1
o0a1f76942f98,p13-004,物理性防曬,1
o0a2a18a85054,p21-001,減法保養組,1
o0a2aeb945f2c,p13-004,物理性防曬,1
o0a2aeb945f2c,p11-001,精華油,2
o0a2aeb945f2c,p11-002,精華液,2
o0a2b969463da,p13-002,沐浴露,1
o0a2b969463da,p12-001,洗髮精,1
o0a2c755501a8,p21-001,減法保養組,1
o0a2c755501a8,p13-004,物理性防曬,1
o0a3f22650837,p12-002,護唇油,2
o0a4bc555e7ad,p21-001,減法保養組,1
o0a4dc195390b,p21-001,減法保養組,1
o0a4e8f0419ca,p13-004,物理性防曬,1
o0a5e79546c94,p12-001,洗髮精,1
o0a5e79546c94,p12-002,護唇油,1
o0a5e79546c94,p13-006,護髮精華,1
o0a6c0f2f288b,p13-005,眼部精華,1
o0a6d732f2bca,p13-004,物理性防曬,1
o0a6d732f2bca,p12-002,護唇油,1
o0a6df1706b34,p21-001,減法保養組,1
o0a6fd392f1f6,p11-001,精華油,1
o0a7d6878d32b,p11-002,精華液,1
o0a8a4d494e98,p12-002,護唇油,2
o0a9b222f9557,p13-002,沐浴露,1
o0a9b222f9557,p13-003,洗面乳,1
o0a9b222f9557,p12-001,洗髮精,1
o0a9b222f9557,p12-002,護唇油,1
o0a00b190063e,p13-005,眼部精華,1
o0a04f057c041,p11-001,精華油,1
o0a04f057c041,p11-002,精華液,1
o0a13db40a2bd,p12-001,洗髮精,1
o0a13db40a2bd,p21-001,減法保養組,1
o0a14f8a80797,p13-001,卸妝油,1
o0a14f8a80797,p12-002,護唇油,1
o0a15e979bf09,p13-002,沐浴露,1
o0a15e979bf09,p13-006,護髮精華,1
o0a24dca83f2d,p11-002,精華液,1
o0a24e7a842c5,p12-002,護唇油,1
o0a29c99466ed,p21-001,減法保養組,1
o0a29c99466ed,p11-002,精華液,1
o0a36e394830a,p13-003,洗面乳,1
o0a36e394830a,p12-002,護唇油,1
o0a40d67abfeb,p21-001,減法保養組,1
o0a40d67abfeb,p12-002,護唇油,3
o0a44d99515cf,p12-002,護唇油,1
o0a60a97b5d24,p12-002,護唇油,2
o0a261b6498a6,p13-002,沐浴露,1
o0a261b6498a6,p12-002,護唇油,1
o0a414c9124b3,p11-001,精華油,1
o0a754e931944,p11-001,精華油,1
o0a897b796313,p11-001,精華油,2
o0a1023a81a94,p13-005,眼部精華,1
o0a1023a81a94,p11-001,精華油,1
o0a1888a81bc8,p12-002,護唇油,1
o0a2040a83500,p11-002,精華液,1
o0a2250a835ca,p13-004,物理性防曬,1
o0a2250a835ca,p12-002,護唇油,1
o0a2601a841ff,p11-001,精華油,2
o0a2658a84be4,p13-004,物理性防曬,1
o0a2658a84be4,p11-002,精華液,1
o0a2658a84be4,p13-006,護髮精華,1
o0a15717a0649,p13-003,洗面乳,1
o0a15717a0649,p21-001,減法保養組,1
o0a23931e226b,p13-002,沐浴露,1
o0a23931e226b,p11-001,精華油,1
o0a23931e226b,p11-002,精華液,1
o0a25697bd0c2,p12-002,護唇油,1
o0a36277aa5da,p12-002,護唇油,1
o0a71090c418c,p21-001,減法保養組,1
o0a75980c5e79,p12-002,護唇油,1
o0a926468eece,p12-002,護唇油,2
o0a1451549c2f,p12-002,護唇油,2
o0a2229362a3b,p13-004,物理性防曬,1
o0a2229362a3b,p12-002,護唇油,1
o0a2308362df0,p11-001,精華油,2
o0a2473943d43,p12-001,洗髮精,1
o0a24599440d3,p12-002,護唇油,1
o0a2308648882,p11-002,精華液,1
o0aa45c8790cb,p21-001,減法保養組,1
o0ab2358c80a3,p11-002,精華液,2
o0abec54b268e,p13-003,洗面乳,2
o0abf54474d68,p13-003,洗面乳,1
o0abf54474d68,p11-002,精華液,2
o0acd196a33b9,p11-002,精華液,1
o0ad7b15803e6,p13-002,沐浴露,2
o0ad7b15803e6,p11-002,精華液,1
o0ade052a10f0,p13-003,洗面乳,1
o0ade052a10f0,p12-001,洗髮精,1
o0ade052a10f0,p21-001,減法保養組,1
o0ade052a10f0,p11-002,精華液,1
o0ae2b7882fa7,p12-002,護唇油,1
o0ae2e63acc3b,p13-003,洗面乳,1
o0ae2e63acc3b,p21-001,減法保養組,1
o0ae2e63acc3b,p13-005,眼部精華,1
o0ae13c6c6524,p11-002,精華液,2
o0ae7442a3a23,p13-001,卸妝油,1
o0ae7442a3a23,p13-002,沐浴露,1
o0ae7442a3a23,p11-002,精華液,1
o0ae04945ef9a,p21-001,減法保養組,1
o0ae83246035f,p11-001,精華油,1
o0aeb184c09a6,p13-003,洗面乳,1
o0aeb184c09a6,p21-001,減法保養組,1
o0aeb184c09a6,p11-002,精華液,1
o0af21a626095,p21-001,減法保養組,1
o0af21a626095,p11-002,精華液,1
o0af1124c22da,p11-002,精華液,2
o0afb3f732ada,p21-001,減法保養組,1
o0afc3e6b6a2c,p11-002,精華液,1
o0afe0f62898a,p13-001,卸妝油,1
o0afe0f62898a,p13-002,沐浴露,1
o0afe0f62898a,p11-002,精華液,1
o0b0b13737752,p21-001,減法保養組,1
o0b0de16bb14a,p21-001,減法保養組,1
o0b1f4c3d553d,p13-004,物理性防曬,1
o0b2db470bc8c,p13-003,洗面乳,2
o0b2db470bc8c,p12-001,洗髮精,1
o0b2f118636ae,p12-001,洗髮精,1
o0b2f118636ae,p11-002,精華液,1
o0b3a91983330,p13-001,卸妝油,1
o0b3a91983330,p21-001,減法保養組,1
o0b3aeaa66d13,p21-001,減法保養組,1
o0b3aeaa66d13,p13-004,物理性防曬,1
o0b3aeaa66d13,p11-002,精華液,1
o0b3cf842abc6,p12-001,洗髮精,1
o0b4aa6986fa5,p12-001,洗髮精,1
o0b4b7f532d1a,p13-003,洗面乳,1
o0b4b7f532d1a,p11-001,精華油,1
o0b4b7f532d1a,p12-002,護唇油,1
o0b4b7f532d1a,p13-006,護髮精華,1
o0b4e3fa6a10a,p13-003,洗面乳,1
o0b4e3fa6a10a,p11-001,精華油,1
o0b4e3fa6a10a,p13-006,護髮精華,1
o0b5aa19914bd,p12-002,護唇油,1
o0b6a9668cbc9,p13-002,沐浴露,1
o0b6a9668cbc9,p21-001,減法保養組,1
o0b6a9668cbc9,p12-002,護唇油,1
o0b6ec09958f0,p21-001,減法保養組,1
o0b6ec09958f0,p11-002,精華液,1
o0b6f6f49effe,p13-003,洗面乳,1
o0b6f6f49effe,p11-002,精華液,1
o0b7db46969dd,p21-001,減法保養組,1
o0b8d2e519336,p11-001,精華油,1
o0b8d2e519336,p11-002,精華液,2
o0b8d2e519336,p12-002,護唇油,1
o0b8df197c913,p12-001,洗髮精,1
o0b8df197c913,p13-004,物理性防曬,1
o0b9c878a115f,p13-003,洗面乳,1
o0b9c878a115f,p21-001,減法保養組,1
o0b9c878a115f,p13-005,眼部精華,1
o0b07eb737061,p13-002,沐浴露,1
o0b07eb737061,p12-002,護唇油,1
o0b20e284af99,p12-002,護唇油,2
o0b20f73d5281,p12-002,護唇油,1
o0b25cf884f19,p13-004,物理性防曬,1
o0b25cf884f19,p11-002,精華液,2
o0b38bf982ab6,p21-001,減法保養組,1
o0b44c8985bb7,p13-005,眼部精華,1
o0b47f4a692ba,p12-001,洗髮精,1
o0b57c4535541,p13-003,洗面乳,1
o0b57c4535541,p21-001,減法保養組,1
o0b91a051a09e,p13-003,洗面乳,1
o0b91a051a09e,p21-001,減法保養組,1
o0b93bc97da33,p21-001,減法保養組,1
o0b172aa6505f,p11-002,精華液,2
o0b172aa6505f,p12-002,護唇油,2
o0b215c3d44da,p12-001,洗髮精,1
o0b288f34b7c7,p11-002,精華液,1
o0b365f750588,p13-005,眼部精華,1
o0b387d982a4d,p13-003,洗面乳,1
o0b387d982a4d,p13-004,物理性防曬,1
o0b405c984bfc,p13-004,物理性防曬,1
o0b405c984bfc,p11-001,精華油,1
o0b458f985e72,p21-001,減法保養組,1
o0b458f985e72,p11-002,精華液,1
o0b513a5907c8,p13-003,洗面乳,1
o0b513a5907c8,p11-002,精華液,2
o0b854b99b525,p11-002,精華液,1
o0b898e69ba53,p13-001,卸妝油,1
o0b898e69ba53,p11-002,精華液,2
o0b940d3983ff,p21-001,減法保養組,1
o0b940d3983ff,p11-002,精華液,2
