OrderId,CustomerId,TransactionDate,Channel,TransactionYear
o0a71090c418c,c478e820c418b,2021/01/01,官網,2021
o0a75980c5e79,cf435850c5ddc,2021/01/01,官網,2021
o3c55ee0c713b,c574f2e0c3be2,2021/01/01,高雄巨蛋門市,2021
o3c56a20c7dd1,c3db35f0c7bef,2021/01/01,台北統一門市,2021
o3c54280c4d86,cacdbf20c4a85,2021/01/01,新竹巨城門市,2021
o3c55920c69ff,c49638f0c67d3,2021/01/01,台北京站門市,2021
o3c56450c771c,cc688710c6a00,2021/01/01,台北京站門市,2021
o3c57650c8dde,cb8aa2a0c8975,2021/01/01,台北統一門市,2021
o5ec2b90bddab,cf877fb0bddaa,2021/01/01,官網,2021
o5ed6a00c4f53,c49637b0c4f52,2021/01/01,官網,2021
o6f10560cb271,c478eb70cafdc,2021/01/01,官網,2021
o6f14970cb417,c574f5d0cb260,2021/01/01,官網,2021
o278b920c970e,cf435af0c956f,2021/01/01,官網,2021
o551c380c4c87,c551b450c3b1f,2021/01/01,台北統一門市,2021
o551e950c7134,c551e5f0c6ded,2021/01/01,台北信義門市,2021
o852f7c0b8149,c27e5140b7dbb,2021/01/01,官網,2021
o69436d0cb6fa,cacdc100cb677,2021/01/01,官網,2021
o85478d0c4f5a,c44c9e80c4f59,2021/01/01,官網,2021
o88608d0cb057,c3cfa6e0cafb2,2021/01/01,官網,2021
oa71a320c8a2a,c6cfd580c8537,2021/01/01,台北京站門市,2021
oa71a600c8dba,c3c573f0c88ef,2021/01/01,台北統一門市,2021
oa715f50c424d,ca715ce0c3d6f,2021/01/01,台北信義門市,2021
oa717f30c63ff,c57f1390c62c8,2021/01/01,新竹巨城門市,2021
ob46ec20c8f07,cf878350c8f07,2021/01/01,官網,2021
oc499bc0cb147,c4963670c0521,2021/01/01,官網,2021
oc229810bb7e3,c09c791e8fd31,2021/01/01,官網,2021
oc449140bfcd6,c6cfd1f0bfcd5,2021/01/01,官網,2021
od5fb2a0c696e,cf435840c6189,2021/01/01,台北南西門市,2021
od5fc8c0c8b47,ca71a4d0c8b1e,2021/01/01,台中勤美門市,2021
od5fd560c985c,c0084970c95e1,2021/01/01,台北京站門市,2021
od80ebe0c4e73,cc23cdd0c4c90,2021/01/01,台北南西門市,2021
od722cd0c55b4,c3cfa1d0c55b3,2021/01/01,官網,2021
od810a40c6918,c4963800c51a0,2021/01/01,台北南西門市,2021
od810db0c701f,c6cfd0a0c0dca,2021/01/01,高雄巨蛋門市,2021
od810e90c701f,cc688750c6dd2,2021/01/01,新竹巨城門市,2021
od8104f0c64af,c57f0c30c5956,2021/01/01,台北信義門市,2021
